Date,Boats,Anglers,Bluefin,Yellowfin,Yellowtail,Barracuda,Calico
"June 26, 2019",3,65,30,0,1,16,0
"June 27, 2019",3,76,27,0,39,1,3
"June 28, 2019",3,56,0,0,32,5,8
"June 29, 2019",3,98,25,14,0,0,15
"June 30, 2019",5,116,25,8,3,0,5
"July 01, 2019",2,43,30,0,0,0,25
"July 02, 2019",3,92,15,12,1,1,0
"July 03, 2019",2,64,2,8,0,0,0
"July 04, 2019",4,97,17,38,3,3,1
"July 05, 2019",4,124,6,1,2,0,17
"July 06, 2019",4,98,2,0,57,2,42
"July 07, 2019",5,101,16,10,8,4,60
"July 08, 2019",3,62,7,1,0,1,88
"July 09, 2019",2,56,0,0,80,0,63
"July 10, 2019",4,81,2,0,78,20,10
"July 11, 2019",1,33,0,0,100,5,4
"July 12, 2019",1,42,0,0,0,4,50
"July 13, 2019",4,89,0,0,103,0,40
"July 14, 2019",2,100,0,0,130,9,100
"July 15, 2019",5,81,18,0,378,7,54
"July 16, 2019",3,83,0,0,202,0,75
"July 17, 2019",4,107,26,9,110,5,50
"July 18, 2019",4,89,39,8,153,0,60
"July 19, 2019",5,96,38,1,21,4,60
"July 20, 2019",3,100,9,0,24,2,65
"July 21, 2019",4,124,8,0,44,4,45
"July 22, 2019",5,86,38,10,137,0,54
"July 23, 2019",3,67,0,0,82,1,18
"July 24, 2019",4,113,5,3,46,3,13
"July 25, 2019",3,82,6,4,12,0,0
"July 26, 2019",5,147,14,1,5,1,3
"July 27, 2019",6,100,10,3,4,8,86
"July 28, 2019",4,82,9,1,1,0,15
"July 29, 2019",4,62,3,0,2,9,140
"July 30, 2019",2,64,0,0,21,0,65
"July 31, 2019",2,65,0,0,195,4,65
"August 01, 2019",5,109,3,1,163,0,57
"August 02, 2019",5,58,1,1,89,4,20
"August 03, 2019",4,127,2,0,13,2,10
"August 04, 2019",6,132,2,2,117,0,78
"August 05, 2019",3,65,4,1,255,0,19
"August 06, 2019",2,25,0,0,4,0,0
"August 07, 2019",4,81,8,0,15,5,31
"August 08, 2019",3,46,0,0,12,3,6
"August 09, 2019",5,85,4,0,98,0,14
